구,행정동,lat,lng,총인구수,세대수,destination_weight
동구,중앙동,36.3325061707031,127.435815161145,3218,2376,0.0022315701294144245
동구,효동,36.313916019531,127.442376044831,29279,12083,0.02030395954603012
동구,신인동,36.3226859931936,127.435336181057,14621,6849,0.010139150671898167
동구,판암1동,36.3227158031604,127.473482915071,11527,6055,0.007993570193213197
동구,판암2동,36.3200591269071,127.457046812819,7567,5132,0.005247449089272513
동구,용운동,36.33535433407,127.456456719369,20743,10749,0.014384542944202425
동구,대동,36.3303492933227,127.44977845224,13274,5918,0.009205053417603191
동구,자양동,36.33242801692606,127.45152789281943,10864,7509,0.007533802947780704
동구,가양1동,36.3429732312068,127.441973342949,12660,6929,0.008779265953507337
동구,가양2동,36.3517393179987,127.4581443323277,18064,9967,0.012526750409491038
동구,용전동,36.351230082218,127.437483618381,19551,12008,0.01355793275331927
동구,성남동,36.3371840674652,127.42203399127,10244,5092,0.007103854694133426
동구,홍도동,36.3511730150163,127.427354406121,10766,6285,0.007465843385107425
동구,삼성동,36.3371840674652,127.42203399127,12999,6548,0.009014350563162866
동구,대청동,36.30200004239266,127.47991080242811,2067,1141,0.0014333920004660084
동구,산내동,36.20218059827905,127.45511076795763,20807,9154,0.014428924699417629
중구,은행선화동,36.32800529542503,127.4284484877877,24127,12189,0.016731228251206282
중구,목동,36.3296104726637,127.41277584531,17246,6253,0.011959496100646725
중구,중촌동,36.3366828586811,127.410696863334,14885,7316,0.010322225412160877
중구,대흥동,36.3247182106454,127.430341547373,11997,7035,0.008319498708074845
중구,문창동,36.3188279417865,127.433879315946,4024,2473,0.002790502859155887
중구,석교동,36.296270816561,127.421960452637,13394,7291,0.009288269208631697
중구,대사동,36.3114125896249,127.42395944181752,5135,3243,0.0035609423910948007
중구,부사동,36.31790036734048,127.43171162057818,5800,3190,0.0040220965663777695
중구,용두동,36.3255699787025,127.411095150021,9774,5474,0.006777926179271779
중구,오류동,36.3224149186214,127.409793443138,9757,4923,0.006766137275542741
중구,태평1동,36.3255717902485,127.399936074445,11965,5086,0.008297307830467242
중구,태평2동,36.3261506941347,127.388906821149,23110,9329,0.016025974422239696
중구,유천1동,36.315807141095604,127.39598879029042,5721,3343,0.003967312837284003
중구,유천2동,36.3155555106821,127.399300296058,12302,6299,0.008531005510272296
중구,문화1동,36.29619458682548,127.42185539539828,20069,8397,0.013917147584592319
중구,문화2동,36.3122846819472,127.40372645045,10855,5774,0.007527561763453566
중구,산성동,36.2893534027601,127.397754143625,24112,12278,0.016720826277327717
서구,복수동,36.2968451798528,127.379661404699,20306,8663,0.014081498771873617
서구,도마1동,36.3163256163954,127.379221344719,17842,9677,0.012372801196088303
서구,도마2동,36.31981454974115,127.358330392599,20020,9825,0.013883167803255679
서구,정림동,36.3073139028553,127.363821377388,15145,7022,0.010502526292722641
서구,변동,36.3296933132258,127.371019929065,12095,6373,0.008387458270748124
서구,용문동,36.3438421388621,127.403186388018,19204,10172,0.013317300424261842
서구,탄방동,36.3443435642474,127.398508160912,31199,16923,0.02163541220248621
서구,괴정동,36.340653703926,127.389624974978,18138,11811,0.012578066813958616
서구,가장동,36.3347071181526,127.384810423397,10238,4713,0.007099693904582
서구,내동,36.3340767623009,127.376743388003,21411,9453,0.014847777514261105
서구,갈마1동,36.3520372699148,127.372698977445,20566,12047,0.014261799652435379
서구,갈마2동,36.3461207081143,127.369618487986,22992,13550,0.015944145561061666
서구,월평1동,36.3364290708729,127.354878951796,11017,7728,0.0076399030813420485
서구,월평2동,36.360594813345,127.378435470533,13158,6821,0.009124611486275636
서구,월평3동,36.3597269423627,127.363055737096,19545,7596,0.013553771963767844
서구,가수원동,36.28500530112986,127.33346133644845,9837,4767,0.006821614469561744
서구,도안동,36.3317317104131,127.347662686526,36465,14346,0.02528719849878713
서구,관저1동,36.3059484148117,127.333933491875,14336,6776,0.009941513168205466
서구,관저2동,36.2977862898484,127.337501301118,46929,19760,0.03254361547647282
서구,기성동,36.22088098460284,127.33862093972914,3192,1812,0.002213540041358248
서구,둔산1동,36.3494105170771,127.384869398294,16268,5701,0.011281287403764405
서구,둔산2동,36.3522679369433,127.378444183104,34065,15240,0.02362288267821702
서구,만년동,36.36994889192411,127.38801706985069,11852,6226,0.0082189462939154
서구,둔산3동,36.3538387841954,127.402943815147,18539,7910,0.012856146248978873
유성구,진잠동,36.323822012082864,127.29101021841187,24808,12135,0.01720347786529305
유성구,학하동,36.3456664954889,127.289945203151,21421,10263,0.014854712163513481
유성구,상대동,36.3348399282715,127.334056761405,25066,9302,0.017382391816004338
유성구,온천1동,36.3550740046837,127.348278945769,26676,18701,0.018498870345636787
유성구,온천2동,36.3621587791143,127.350218030314,40814,23052,0.02830307745864522
유성구,노은1동,36.3690613121613,127.295714939788,20564,8844,0.014260412722584905
유성구,노은2동,36.413948424511226,127.283544779735,22953,9625,0.015917100428977402
