사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도,사고다발지역폴리곤정보,데이터기준일자
2013060,2012,스쿨존어린이,30230001,대전광역시 대덕구1,대전광역시 대덕구 중리동(대전용전초교 부근),2,2,0,1,1,0,36.355951,127.430078,"{ type: Polygon, coordinates: [ [ [994026.4999, 1817617.0249], [994025.3583, 1817643.1716], [994021.9422, 1817669.1193], [994016.2776, 1817694.6706], [994008.4077, 1817719.6309], [993998.3922, 1817743.8104], [993986.3075, 1817767.0249], [993972.2455, 1817789.0978], [993956.3132, 1817809.8612], [993938.6319, 1817829.1569], [993919.3362, 1817846.8382], [993898.5728, 1817862.7705], [993876.4999, 1817876.8325], [993853.2854, 1817888.9172], [993829.1059, 1817898.9327], [993804.1456, 1817906.8026], [993778.5944, 1817912.4672], [993752.6466, 1817915.8833], [993726.4999, 1817917.0249], [993700.3532, 1817915.8833], [993674.4054, 1817912.4672], [993648.8542, 1817906.8026], [993623.8939, 1817898.9327], [993599.7144, 1817888.9172], [993576.4999, 1817876.8325], [993554.427, 1817862.7705], [993533.6636, 1817846.8382], [993514.3679, 1817829.1569], [993496.6866, 1817809.8612], [993480.7543, 1817789.0978], [993466.6923, 1817767.0249], [993454.6076, 1817743.8104], [993444.5921, 1817719.6309], [993436.7222, 1817694.6706], [993431.0576, 1817669.1193], [993427.6415, 1817643.1716], [993426.4999, 1817617.0249], [993427.6415, 1817590.8782], [993431.0576, 1817564.9304], [993436.7222, 1817539.3792], [993444.5921, 1817514.4188], [993454.6076, 1817490.2394], [993466.6923, 1817467.0249], [993480.7543, 1817444.9519], [993496.6866, 1817424.1886], [993514.3679, 1817404.8928], [993533.6636, 1817387.2115], [993554.427, 1817371.2793], [993576.4999, 1817357.2173], [993599.7144, 1817345.1325], [993623.8939, 1817335.1171], [993648.8542, 1817327.2471], [993674.4054, 1817321.5826], [993700.3532, 1817318.1665], [993726.4999, 1817317.0249], [993752.6466, 1817318.1665], [993778.5944, 1817321.5826], [993804.1456, 1817327.2471], [993829.1059, 1817335.1171], [993853.2854, 1817345.1325], [993876.4999, 1817357.2173], [993898.5728, 1817371.2793], [993919.3362, 1817387.2115], [993938.6319, 1817404.8928], [993956.3132, 1817424.1886], [993972.2455, 1817444.9519], [993986.3075, 1817467.0249], [993998.3922, 1817490.2394], [994008.4077, 1817514.4188], [994016.2776, 1817539.3792], [994021.9422, 1817564.9304], [994025.3583, 1817590.8782], [994026.4999, 1817617.0249] ] ] }",2025-09-24
2013097,2012,보행어린이,30170001,대전광역시 서구1,대전광역시 서구 괴정동(새한BC 부근),3,3,0,2,1,0,36.339724,127.384764,"{ type: Polygon, coordinates: [ [ [989858.7998, 1815821.0086], [989858.0388, 1815838.4397], [989855.7614, 1815855.7382], [989851.985, 1815872.7724], [989846.7384, 1815889.4126], [989840.0614, 1815905.5322], [989832.0049, 1815921.0086], [989822.6303, 1815935.7238], [989812.0087, 1815949.5661], [989800.2212, 1815962.4299], [989787.3574, 1815974.2174], [989773.5151, 1815984.839], [989758.7998, 1815994.2136], [989743.3235, 1816002.2701], [989727.2039, 1816008.9471], [989710.5637, 1816014.1937], [989693.5295, 1816017.9701], [989676.231, 1816020.2475], [989658.7998, 1816021.0086], [989641.3687, 1816020.2475], [989624.0702, 1816017.9701], [989607.036, 1816014.1937], [989590.3958, 1816008.9471], [989574.2762, 1816002.2701], [989558.7998, 1815994.2136], [989544.0846, 1815984.839], [989530.2423, 1815974.2174], [989517.3785, 1815962.4299], [989505.591, 1815949.5661], [989494.9694, 1815935.7238], [989485.5948, 1815921.0086], [989477.5383, 1815905.5322], [989470.8613, 1815889.4126], [989465.6147, 1815872.7724], [989461.8383, 1815855.7382], [989459.5609, 1815838.4397], [989458.7998, 1815821.0086], [989459.5609, 1815803.5774], [989461.8383, 1815786.2789], [989465.6147, 1815769.2447], [989470.8613, 1815752.6045], [989477.5383, 1815736.4849], [989485.5948, 1815721.0086], [989494.9694, 1815706.2933], [989505.591, 1815692.451], [989517.3785, 1815679.5872], [989530.2423, 1815667.7997], [989544.0846, 1815657.1781], [989558.7998, 1815647.8035], [989574.2762, 1815639.747], [989590.3958, 1815633.07], [989607.036, 1815627.8234], [989624.0702, 1815624.047], [989641.3687, 1815621.7696], [989658.7998, 1815621.0086], [989676.231, 1815621.7696], [989693.5295, 1815624.047], [989710.5637, 1815627.8234], [989727.2039, 1815633.07], [989743.3235, 1815639.747], [989758.7998, 1815647.8035], [989773.5151, 1815657.1781], [989787.3574, 1815667.7997], [989800.2212, 1815679.5872], [989812.0087, 1815692.451], [989822.6303, 1815706.2933], [989832.0049, 1815721.0086], [989840.0614, 1815736.4849], [989846.7384, 1815752.6045], [989851.985, 1815769.2447], [989855.7614, 1815786.2789], [989858.0388, 1815803.5774], [989858.7998, 1815821.0086] ] ] }",2025-09-24
2013097,2012,보행어린이,30170002,대전광역시 서구2,대전광역시 서구 둔산동(김가네분식 부근),5,5,0,4,1,0,36.351916,127.389666,"{ type: Polygon, coordinates: [ [ [990300.1916, 1817172.9085], [990299.4305, 1817190.3396], [990297.1532, 1817207.6381], [990293.3768, 1817224.6723], [990288.1301, 1817241.3125], [990281.4532, 1817257.4321], [990273.3967, 1817272.9085], [990264.022, 1817287.6238], [990253.4005, 1817301.466], [990241.613, 1817314.3298], [990228.7491, 1817326.1174], [990214.9069, 1817336.7389], [990200.1916, 1817346.1136], [990184.7153, 1817354.17], [990168.5956, 1817360.847], [990151.9554, 1817366.0936], [990134.9212, 1817369.87], [990117.6227, 1817372.1474], [990100.1916, 1817372.9085], [990082.7605, 1817372.1474], [990065.462, 1817369.87], [990048.4278, 1817366.0936], [990031.7876, 1817360.847], [990015.6679, 1817354.17], [990000.1916, 1817346.1136], [989985.4763, 1817336.7389], [989971.6341, 1817326.1174], [989958.7702, 1817314.3298], [989946.9827, 1817301.466], [989936.3612, 1817287.6238], [989926.9865, 1817272.9085], [989918.93, 1817257.4321], [989912.2531, 1817241.3125], [989907.0064, 1817224.6723], [989903.2301, 1817207.6381], [989900.9527, 1817190.3396], [989900.1916, 1817172.9085], [989900.9527, 1817155.4773], [989903.2301, 1817138.1788], [989907.0064, 1817121.1447], [989912.2531, 1817104.5044], [989918.93, 1817088.3848], [989926.9865, 1817072.9085], [989936.3612, 1817058.1932], [989946.9827, 1817044.351], [989958.7702, 1817031.4871], [989971.6341, 1817019.6996], [989985.4763, 1817009.0781], [990000.1916, 1816999.7034], [990015.6679, 1816991.6469], [990031.7876, 1816984.97], [990048.4278, 1816979.7233], [990065.462, 1816975.9469], [990082.7605, 1816973.6695], [990100.1916, 1816972.9085], [990117.6227, 1816973.6695], [990134.9212, 1816975.9469], [990151.9554, 1816979.7233], [990168.5956, 1816984.97], [990184.7153, 1816991.6469], [990200.1916, 1816999.7034], [990214.9069, 1817009.0781], [990228.7491, 1817019.6996], [990241.613, 1817031.4871], [990253.4005, 1817044.351], [990264.022, 1817058.1932], [990273.3967, 1817072.9085], [990281.4532, 1817088.3848], [990288.1301, 1817104.5044], [990293.3768, 1817121.1447], [990297.1532, 1817138.1788], [990299.4305, 1817155.4773], [990300.1916, 1817172.9085] ] ] }",2025-09-24
2013097,2012,보행어린이,30200001,대전광역시 유성구1,대전광역시 유성구 장대동(장대2교 부근),3,3,0,0,3,0,36.361189,127.338694,"{ type: Polygon, coordinates: [ [ [985728.4083, 1818207.8999], [985727.6473, 1818225.3311], [985725.3699, 1818242.6296], [985721.5935, 1818259.6637], [985716.3469, 1818276.304], [985709.6699, 1818292.4236], [985701.6134, 1818307.8999], [985692.2388, 1818322.6152], [985681.6172, 1818336.4574], [985669.8297, 1818349.3213], [985656.9659, 1818361.1088], [985643.1236, 1818371.7303], [985628.4083, 1818381.105], [985612.932, 1818389.1615], [985596.8124, 1818395.8384], [985580.1722, 1818401.0851], [985563.138, 1818404.8615], [985545.8395, 1818407.1389], [985528.4083, 1818407.8999], [985510.9772, 1818407.1389], [985493.6787, 1818404.8615], [985476.6445, 1818401.0851], [985460.0043, 1818395.8384], [985443.8847, 1818389.1615], [985428.4083, 1818381.105], [985413.6931, 1818371.7303], [985399.8508, 1818361.1088], [985386.987, 1818349.3213], [985375.1995, 1818336.4574], [985364.5779, 1818322.6152], [985355.2033, 1818307.8999], [985347.1468, 1818292.4236], [985340.4698, 1818276.304], [985335.2232, 1818259.6637], [985331.4468, 1818242.6296], [985329.1694, 1818225.3311], [985328.4083, 1818207.8999], [985329.1694, 1818190.4688], [985331.4468, 1818173.1703], [985335.2232, 1818156.1361], [985340.4698, 1818139.4959], [985347.1468, 1818123.3763], [985355.2033, 1818107.8999], [985364.5779, 1818093.1846], [985375.1995, 1818079.3424], [985386.987, 1818066.4786], [985399.8508, 1818054.691], [985413.6931, 1818044.0695], [985428.4083, 1818034.6948], [985443.8847, 1818026.6384], [985460.0043, 1818019.9614], [985476.6445, 1818014.7148], [985493.6787, 1818010.9384], [985510.9772, 1818008.661], [985528.4083, 1818007.8999], [985545.8395, 1818008.661], [985563.138, 1818010.9384], [985580.1722, 1818014.7148], [985596.8124, 1818019.9614], [985612.932, 1818026.6384], [985628.4083, 1818034.6948], [985643.1236, 1818044.0695], [985656.9659, 1818054.691], [985669.8297, 1818066.4786], [985681.6172, 1818079.3424], [985692.2388, 1818093.1846], [985701.6134, 1818107.8999], [985709.6699, 1818123.3763], [985716.3469, 1818139.4959], [985721.5935, 1818156.1361], [985725.3699, 1818173.1703], [985727.6473, 1818190.4688], [985728.4083, 1818207.8999] ] ] }",2025-09-24
2013098,2012,보행노인,30110001,대전광역시 동구1,대전광역시 동구 삼성동((주)흥광기계 부근),3,3,0,2,1,0,36.34379,127.421738,"{ type: Polygon, coordinates: [ [ [993177.2084, 1816268.6666], [993176.4474, 1816286.0977], [993174.17, 1816303.3962], [993170.3936, 1816320.4304], [993165.147, 1816337.0706], [993158.47, 1816353.1902], [993150.4135, 1816368.6666], [993141.0389, 1816383.3819], [993130.4173, 1816397.2241], [993118.6298, 1816410.0879], [993105.766, 1816421.8755], [993091.9237, 1816432.497], [993077.2084, 1816441.8717], [993061.7321, 1816449.9281], [993045.6125, 1816456.6051], [993028.9723, 1816461.8517], [993011.9381, 1816465.6281], [992994.6396, 1816467.9055], [992977.2084, 1816468.6666], [992959.7773, 1816467.9055], [992942.4788, 1816465.6281], [992925.4446, 1816461.8517], [992908.8044, 1816456.6051], [992892.6848, 1816449.9281], [992877.2084, 1816441.8717], [992862.4932, 1816432.497], [992848.6509, 1816421.8755], [992835.7871, 1816410.0879], [992823.9996, 1816397.2241], [992813.378, 1816383.3819], [992804.0034, 1816368.6666], [992795.9469, 1816353.1902], [992789.2699, 1816337.0706], [992784.0233, 1816320.4304], [992780.2469, 1816303.3962], [992777.9695, 1816286.0977], [992777.2084, 1816268.6666], [992777.9695, 1816251.2354], [992780.2469, 1816233.9369], [992784.0233, 1816216.9028], [992789.2699, 1816200.2626], [992795.9469, 1816184.1429], [992804.0034, 1816168.6666], [992813.378, 1816153.9513], [992823.9996, 1816140.1091], [992835.7871, 1816127.2452], [992848.6509, 1816115.4577], [992862.4932, 1816104.8362], [992877.2084, 1816095.4615], [992892.6848, 1816087.405], [992908.8044, 1816080.7281], [992925.4446, 1816075.4814], [992942.4788, 1816071.705], [992959.7773, 1816069.4276], [992977.2084, 1816068.6666], [992994.6396, 1816069.4276], [993011.9381, 1816071.705], [993028.9723, 1816075.4814], [993045.6125, 1816080.7281], [993061.7321, 1816087.405], [993077.2084, 1816095.4615], [993091.9237, 1816104.8362], [993105.766, 1816115.4577], [993118.6298, 1816127.2452], [993130.4173, 1816140.1091], [993141.0389, 1816153.9513], [993150.4135, 1816168.6666], [993158.47, 1816184.1429], [993165.147, 1816200.2626], [993170.3936, 1816216.9028], [993174.17, 1816233.9369], [993176.4474, 1816251.2354], [993177.2084, 1816268.6666] ] ] }",2025-09-24
2013098,2012,보행노인,30110002,대전광역시 동구2,대전광역시 동구 원동(원동삼거리 부근),4,4,1,2,1,0,36.329711,127.433609,"{ type: Polygon, coordinates: [ [ [994241.3002, 1814706.2912], [994240.5392, 1814723.7223], [994238.2618, 1814741.0208], [994234.4854, 1814758.055], [994229.2388, 1814774.6952], [994222.5618, 1814790.8148], [994214.5053, 1814806.2912], [994205.1306, 1814821.0065], [994194.5091, 1814834.8487], [994182.7216, 1814847.7125], [994169.8578, 1814859.5001], [994156.0155, 1814870.1216], [994141.3002, 1814879.4963], [994125.8239, 1814887.5527], [994109.7043, 1814894.2297], [994093.064, 1814899.4763], [994076.0299, 1814903.2527], [994058.7314, 1814905.5301], [994041.3002, 1814906.2912], [994023.8691, 1814905.5301], [994006.5706, 1814903.2527], [993989.5364, 1814899.4763], [993972.8962, 1814894.2297], [993956.7766, 1814887.5527], [993941.3002, 1814879.4963], [993926.5849, 1814870.1216], [993912.7427, 1814859.5001], [993899.8789, 1814847.7125], [993888.0913, 1814834.8487], [993877.4698, 1814821.0065], [993868.0951, 1814806.2912], [993860.0387, 1814790.8148], [993853.3617, 1814774.6952], [993848.1151, 1814758.055], [993844.3387, 1814741.0208], [993842.0613, 1814723.7223], [993841.3002, 1814706.2912], [993842.0613, 1814688.86], [993844.3387, 1814671.5615], [993848.1151, 1814654.5274], [993853.3617, 1814637.8871], [993860.0387, 1814621.7675], [993868.0951, 1814606.2912], [993877.4698, 1814591.5759], [993888.0913, 1814577.7336], [993899.8789, 1814564.8698], [993912.7427, 1814553.0823], [993926.5849, 1814542.4608], [993941.3002, 1814533.0861], [993956.7766, 1814525.0296], [993972.8962, 1814518.3526], [993989.5364, 1814513.106], [994006.5706, 1814509.3296], [994023.8691, 1814507.0522], [994041.3002, 1814506.2912], [994058.7314, 1814507.0522], [994076.0299, 1814509.3296], [994093.064, 1814513.106], [994109.7043, 1814518.3526], [994125.8239, 1814525.0296], [994141.3002, 1814533.0861], [994156.0155, 1814542.4608], [994169.8578, 1814553.0823], [994182.7216, 1814564.8698], [994194.5091, 1814577.7336], [994205.1306, 1814591.5759], [994214.5053, 1814606.2912], [994222.5618, 1814621.7675], [994229.2388, 1814637.8871], [994234.4854, 1814654.5274], [994238.2618, 1814671.5615], [994240.5392, 1814688.86], [994241.3002, 1814706.2912] ] ] }",2025-09-24
2013098,2012,보행노인,30110003,대전광역시 동구3,대전광역시 동구 삼성동(한신전기상사 부근),4,4,2,2,0,0,36.34068,127.426229,"{ type: Polygon, coordinates: [ [ [993579.95, 1815923.4667], [993579.1889, 1815940.8978], [993576.9115, 1815958.1963], [993573.1351, 1815975.2305], [993567.8885, 1815991.8707], [993561.2115, 1816007.9903], [993553.155, 1816023.4667], [993543.7804, 1816038.182], [993533.1589, 1816052.0242], [993521.3713, 1816064.888], [993508.5075, 1816076.6756], [993494.6652, 1816087.2971], [993479.95, 1816096.6718], [993464.4736, 1816104.7282], [993448.354, 1816111.4052], [993431.7138, 1816116.6518], [993414.6796, 1816120.4282], [993397.3811, 1816122.7056], [993379.95, 1816123.4667], [993362.5188, 1816122.7056], [993345.2203, 1816120.4282], [993328.1862, 1816116.6518], [993311.5459, 1816111.4052], [993295.4263, 1816104.7282], [993279.95, 1816096.6718], [993265.2347, 1816087.2971], [993251.3924, 1816076.6756], [993238.5286, 1816064.888], [993226.7411, 1816052.0242], [993216.1196, 1816038.182], [993206.7449, 1816023.4667], [993198.6884, 1816007.9903], [993192.0114, 1815991.8707], [993186.7648, 1815975.2305], [993182.9884, 1815958.1963], [993180.711, 1815940.8978], [993179.95, 1815923.4667], [993180.711, 1815906.0355], [993182.9884, 1815888.737], [993186.7648, 1815871.7029], [993192.0114, 1815855.0627], [993198.6884, 1815838.943], [993206.7449, 1815823.4667], [993216.1196, 1815808.7514], [993226.7411, 1815794.9092], [993238.5286, 1815782.0453], [993251.3924, 1815770.2578], [993265.2347, 1815759.6363], [993279.95, 1815750.2616], [993295.4263, 1815742.2051], [993311.5459, 1815735.5282], [993328.1862, 1815730.2815], [993345.2203, 1815726.5051], [993362.5188, 1815724.2277], [993379.95, 1815723.4667], [993397.3811, 1815724.2277], [993414.6796, 1815726.5051], [993431.7138, 1815730.2815], [993448.354, 1815735.5282], [993464.4736, 1815742.2051], [993479.95, 1815750.2616], [993494.6652, 1815759.6363], [993508.5075, 1815770.2578], [993521.3713, 1815782.0453], [993533.1589, 1815794.9092], [993543.7804, 1815808.7514], [993553.155, 1815823.4667], [993561.2115, 1815838.943], [993567.8885, 1815855.0627], [993573.1351, 1815871.7029], [993576.9115, 1815888.737], [993579.1889, 1815906.0355], [993579.95, 1815923.4667] ] ] }",2025-09-24
2013098,2012,보행노인,30110004,대전광역시 동구4,대전광역시 동구 중동(명인전자 부근),5,5,2,2,1,0,36.333153,127.43184,"{ type: Polygon, coordinates: [ [ [994082.875, 1815088.1828], [994082.114, 1815105.6139], [994079.8366, 1815122.9124], [994076.0602, 1815139.9466], [994070.8136, 1815156.5868], [994064.1366, 1815172.7064], [994056.0801, 1815188.1828], [994046.7054, 1815202.8981], [994036.0839, 1815216.7403], [994024.2964, 1815229.6042], [994011.4326, 1815241.3917], [993997.5903, 1815252.0132], [993982.875, 1815261.3879], [993967.3987, 1815269.4444], [993951.2791, 1815276.1213], [993934.6388, 1815281.368], [993917.6047, 1815285.1443], [993900.3062, 1815287.4217], [993882.875, 1815288.1828], [993865.4439, 1815287.4217], [993848.1454, 1815285.1443], [993831.1112, 1815281.368], [993814.471, 1815276.1213], [993798.3514, 1815269.4444], [993782.875, 1815261.3879], [993768.1597, 1815252.0132], [993754.3175, 1815241.3917], [993741.4537, 1815229.6042], [993729.6661, 1815216.7403], [993719.0446, 1815202.8981], [993709.67, 1815188.1828], [993701.6135, 1815172.7064], [993694.9365, 1815156.5868], [993689.6899, 1815139.9466], [993685.9135, 1815122.9124], [993683.6361, 1815105.6139], [993682.875, 1815088.1828], [993683.6361, 1815070.7516], [993685.9135, 1815053.4532], [993689.6899, 1815036.419], [993694.9365, 1815019.7788], [993701.6135, 1815003.6591], [993709.67, 1814988.1828], [993719.0446, 1814973.4675], [993729.6661, 1814959.6253], [993741.4537, 1814946.7614], [993754.3175, 1814934.9739], [993768.1597, 1814924.3524], [993782.875, 1814914.9777], [993798.3514, 1814906.9212], [993814.471, 1814900.2443], [993831.1112, 1814894.9976], [993848.1454, 1814891.2212], [993865.4439, 1814888.9439], [993882.875, 1814888.1828], [993900.3062, 1814888.9439], [993917.6047, 1814891.2212], [993934.6388, 1814894.9976], [993951.2791, 1814900.2443], [993967.3987, 1814906.9212], [993982.875, 1814914.9777], [993997.5903, 1814924.3524], [994011.4326, 1814934.9739], [994024.2964, 1814946.7614], [994036.0839, 1814959.6253], [994046.7054, 1814973.4675], [994056.0801, 1814988.1828], [994064.1366, 1815003.6591], [994070.8136, 1815019.7788], [994076.0602, 1815036.419], [994079.8366, 1815053.4532], [994082.114, 1815070.7516], [994082.875, 1815088.1828] ] ] }",2025-09-24
2013098,2012,보행노인,30110005,대전광역시 동구5,대전광역시 동구 효동(제2치수교네거리 부근),6,7,2,3,2,0,36.320874,127.443916,"{ type: Polygon, coordinates: [ [ [995165.8582, 1813725.4164], [995165.0971, 1813742.8475], [995162.8197, 1813760.146], [995159.0433, 1813777.1802], [995153.7967, 1813793.8204], [995147.1197, 1813809.94], [995139.0633, 1813825.4164], [995129.6886, 1813840.1317], [995119.0671, 1813853.9739], [995107.2795, 1813866.8377], [995094.4157, 1813878.6253], [995080.5735, 1813889.2468], [995065.8582, 1813898.6215], [995050.3818, 1813906.6779], [995034.2622, 1813913.3549], [995017.622, 1813918.6016], [995000.5878, 1813922.3779], [994983.2893, 1813924.6553], [994965.8582, 1813925.4164], [994948.427, 1813924.6553], [994931.1285, 1813922.3779], [994914.0944, 1813918.6016], [994897.4542, 1813913.3549], [994881.3345, 1813906.6779], [994865.8582, 1813898.6215], [994851.1429, 1813889.2468], [994837.3007, 1813878.6253], [994824.4368, 1813866.8377], [994812.6493, 1813853.9739], [994802.0278, 1813840.1317], [994792.6531, 1813825.4164], [994784.5966, 1813809.94], [994777.9197, 1813793.8204], [994772.673, 1813777.1802], [994768.8966, 1813760.146], [994766.6192, 1813742.8475], [994765.8582, 1813725.4164], [994766.6192, 1813707.9852], [994768.8966, 1813690.6868], [994772.673, 1813673.6526], [994777.9197, 1813657.0124], [994784.5966, 1813640.8927], [994792.6531, 1813625.4164], [994802.0278, 1813610.7011], [994812.6493, 1813596.8589], [994824.4368, 1813583.995], [994837.3007, 1813572.2075], [994851.1429, 1813561.586], [994865.8582, 1813552.2113], [994881.3345, 1813544.1548], [994897.4542, 1813537.4779], [994914.0944, 1813532.2312], [994931.1285, 1813528.4548], [994948.427, 1813526.1775], [994965.8582, 1813525.4164], [994983.2893, 1813526.1775], [995000.5878, 1813528.4548], [995017.622, 1813532.2312], [995034.2622, 1813537.4779], [995050.3818, 1813544.1548], [995065.8582, 1813552.2113], [995080.5735, 1813561.586], [995094.4157, 1813572.2075], [995107.2795, 1813583.995], [995119.0671, 1813596.8589], [995129.6886, 1813610.7011], [995139.0633, 1813625.4164], [995147.1197, 1813640.8927], [995153.7967, 1813657.0124], [995159.0433, 1813673.6526], [995162.8197, 1813690.6868], [995165.0971, 1813707.9852], [995165.8582, 1813725.4164] ] ] }",2025-09-24
2013098,2012,보행노인,30140001,대전광역시 중구1,대전광역시 중구 유천동(동양국제결혼상담소 부근),2,2,2,0,0,0,36.313961,127.399093,"{ type: Polygon, coordinates: [ [ [991141.6417, 1812961.9583], [991140.8806, 1812979.3894], [991138.6032, 1812996.6879], [991134.8269, 1813013.7221], [991129.5802, 1813030.3623], [991122.9032, 1813046.4819], [991114.8468, 1813061.9583], [991105.4721, 1813076.6735], [991094.8506, 1813090.5158], [991083.063, 1813103.3796], [991070.1992, 1813115.1671], [991056.357, 1813125.7887], [991041.6417, 1813135.1633], [991026.1653, 1813143.2198], [991010.0457, 1813149.8968], [990993.4055, 1813155.1434], [990976.3713, 1813158.9198], [990959.0728, 1813161.1972], [990941.6417, 1813161.9583], [990924.2105, 1813161.1972], [990906.9121, 1813158.9198], [990889.8779, 1813155.1434], [990873.2377, 1813149.8968], [990857.118, 1813143.2198], [990841.6417, 1813135.1633], [990826.9264, 1813125.7887], [990813.0842, 1813115.1671], [990800.2203, 1813103.3796], [990788.4328, 1813090.5158], [990777.8113, 1813076.6735], [990768.4366, 1813061.9583], [990760.3801, 1813046.4819], [990753.7032, 1813030.3623], [990748.4565, 1813013.7221], [990744.6801, 1812996.6879], [990742.4028, 1812979.3894], [990741.6417, 1812961.9583], [990742.4028, 1812944.5271], [990744.6801, 1812927.2286], [990748.4565, 1812910.1945], [990753.7032, 1812893.5542], [990760.3801, 1812877.4346], [990768.4366, 1812861.9583], [990777.8113, 1812847.243], [990788.4328, 1812833.4007], [990800.2203, 1812820.5369], [990813.0842, 1812808.7494], [990826.9264, 1812798.1279], [990841.6417, 1812788.7532], [990857.118, 1812780.6967], [990873.2377, 1812774.0197], [990889.8779, 1812768.7731], [990906.9121, 1812764.9967], [990924.2105, 1812762.7193], [990941.6417, 1812761.9583], [990959.0728, 1812762.7193], [990976.3713, 1812764.9967], [990993.4055, 1812768.7731], [991010.0457, 1812774.0197], [991026.1653, 1812780.6967], [991041.6417, 1812788.7532], [991056.357, 1812798.1279], [991070.1992, 1812808.7494], [991083.063, 1812820.5369], [991094.8506, 1812833.4007], [991105.4721, 1812847.243], [991114.8468, 1812861.9583], [991122.9032, 1812877.4346], [991129.5802, 1812893.5542], [991134.8269, 1812910.1945], [991138.6032, 1812927.2286], [991140.8806, 1812944.5271], [991141.6417, 1812961.9583] ] ] }",2025-09-24
