행정구역,2026년06월_총인구수,2026년06월_세대수,2026년06월_세대당 인구,2026년06월_남자 인구수,2026년06월_여자 인구수,2026년06월_남여 비율
대전광역시  (3000000000),"1,442,034","704,570",2.05,"718,127","723,907",0.99
대전광역시 동구 (3011000000),"218,251","113,795",1.92,"109,888","108,363",1.01
대전광역시 동구 중앙동(3011051500),"3,218","2,376",1.35,"1,834","1,384",1.33
대전광역시 동구 효동(3011053000),"29,279","12,083",2.42,"14,438","14,841",0.97
대전광역시 동구 신인동(3011054500),"14,621","6,849",2.13,"7,101","7,520",0.94
대전광역시 동구 판암1동(3011055100),"11,527","6,055",1.9,"5,499","6,028",0.91
대전광역시 동구 판암2동(3011055200),"7,567","5,132",1.47,"3,646","3,921",0.93
대전광역시 동구 용운동(3011056000),"20,743","10,749",1.93,"10,493","10,250",1.02
대전광역시 동구 대동(3011058500),"13,274","5,918",2.24,"6,605","6,669",0.99
대전광역시 동구 자양동(3011059000),"10,864","7,509",1.45,"5,740","5,124",1.12
대전광역시 동구 가양1동(3011062000),"12,660","6,929",1.83,"6,618","6,042",1.1
대전광역시 동구 가양2동(3011063000),"18,064","9,967",1.81,"9,084","8,980",1.01
대전광역시 동구 용전동(3011064000),"19,551","12,008",1.63,"10,127","9,424",1.07
대전광역시 동구 성남동(3011066500),"10,244","5,092",2.01,"5,042","5,202",0.97
대전광역시 동구 홍도동(3011067000),"10,766","6,285",1.71,"5,534","5,232",1.06
대전광역시 동구 삼성동(3011069500),"12,999","6,548",1.99,"6,567","6,432",1.02
대전광역시 동구 대청동(3011072500),"2,067","1,141",1.81,"1,087",980,1.11
대전광역시 동구 산내동(3011074000),"20,807","9,154",2.27,"10,473","10,334",1.01
대전광역시 중구 (3014000000),"224,273","109,893",2.04,"109,505","114,768",0.95
대전광역시 중구 은행선화동(3014053500),"24,127","12,189",1.98,"12,105","12,022",1.01
대전광역시 중구 목동(3014055000),"17,246","6,253",2.76,"8,157","9,089",0.9
대전광역시 중구 중촌동(3014056000),"14,885","7,316",2.03,"7,232","7,653",0.94
대전광역시 중구 대흥동(3014057500),"11,997","7,035",1.71,"5,834","6,163",0.95
대전광역시 중구 문창동(3014060500),"4,024","2,473",1.63,"2,084","1,940",1.07
대전광역시 중구 석교동(3014062000),"13,394","7,291",1.84,"6,772","6,622",1.02
대전광역시 중구 대사동(3014063000),"5,135","3,243",1.58,"2,464","2,671",0.92
대전광역시 중구 부사동(3014064000),"5,800","3,190",1.82,"2,944","2,856",1.03
대전광역시 중구 용두동(3014065500),"9,774","5,474",1.79,"4,761","5,013",0.95
대전광역시 중구 오류동(3014067000),"9,757","4,923",1.98,"4,542","5,215",0.87
